"","SAMEA103885102","SAMEA103885347","SAMEA103885182","SAMEA103885136","SAMEA103885368","SAMEA103885218","SAMEA103885284","SAMEA103885059","SAMEA103885111","SAMEA103884919","SAMEA103885262","SAMEA103885228"
"ENSG00000005189.19",280.999,118.071,158.998,84,340.917,73.999,172,56,153.001,51.016,213.002,149
"ENSG00000005194.14",1389,1671.001,1365,1071.001,1503,980,1153.001,1015.001,1341,885,1622,1340.001
"ENSG00000005206.16",903.041,805.112,528.018,370,724.655,373.641,847.099,591.862,822.704,507.408,1115.206,899.271
"ENSG00000005238.19",3227.999,3484,3227,3498,3264.999,3500.999,2963,3315.001,3358.999,3670,3102,2813.999
"ENSG00000005243.9",83.999,47,102,67,79.999,42,96,68,183.001,104,645,466.001
"ENSG00000005249.12",267,187,230,229,190,149,322,274,148,71,420,316
"ENSG00000005302.18",3627.999,4899.946,2926.999,2976.001,1607.001,1644,2875.999,2817,1538,1445.919,1821.001,1923
"ENSG00000005339.14",4532.659,5267.528,4143.029,3964.001,4134.79,3937.016,3133.618,2780,4593.683,3759,4770.022,4266.011
"ENSG00000005379.16",184.008,237.002,46,67,114.001,275.007,69,139.001,156.002,159.001,72,109
"ENSG00000005381.7",1,9,0,2,2,3,0,0,0,0,0,0
"ENSG00000005421.8",0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000005436.13",511.067,544,364.989,309,370.046,197.999,350.001,220,294,195,686,519
"ENSG00000005448.16",89.052,55.602,109.057,30.001,143.401,50.386,90.004,32.589,120.008,48,375.37,317.024
"ENSG00000005469.11",422,490,337,396,355,263.999,346,356,367,281.999,321.001,254
"ENSG00000005471.17",1877.943,1298.631,1502.96,863.909,1691.991,1241.932,1133.995,664,1330.98,832,331.92,222
