"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id_clean","symbol","entrez","log2FoldChange_raw","symbol_for_plot"
"ENSG00000251129.1",9.03908865331655,-1.95643644546445,0.736695649648519,-3.33080738004745,0.000865945001102891,0.00259520650246215,"ENSG00000251129","LINC02506","102723828",-2.45379130669814,"LINC02506"
"ENSG00000144057.15",95.6823542264658,-1.21918226484102,0.423613844570732,-3.32345282300902,0.00088910460132169,0.00265744483260832,"ENSG00000144057","ST6GAL2","84620",-1.4078606276043,"ST6GAL2"
"ENSG00000003096.14",15.2374934751201,-1.78658263395242,0.644940624546018,-3.32179488769664,0.000894404159606695,0.00267115101609546,"ENSG00000003096","KLHL13","90293",-2.14236046948484,"KLHL13"
"ENSG00000132692.18",9.36650714945554,-1.57608865276181,0.568422316197631,-3.3217516771564,0.000894542671959226,0.00267115101609546,"ENSG00000132692","BCAN","63827",-1.88815778216261,"BCAN"
"ENSG00000196979.1",10.4107967836119,-1.67193013140592,0.614035085214132,-3.3189357219688,0.000903612267060116,0.00269627219781605,"ENSG00000196979","GPRACR","401554",-2.03794297885934,"GPRACR"
"ENSG00000118407.14",17.2228386073628,-1.13943415281226,0.392922426931876,-3.31706509606723,0.000909684188550022,0.00271029461842598,"ENSG00000118407","FILIP1","27145",-1.30334926783775,"FILIP1"
"ENSG00000251503.8",9.2027497535459,-1.59551442962878,0.57975491137229,-3.31121108527188,0.000928931080143161,0.00276300638599235,"ENSG00000251503","CENPS-CORT","100526739",-1.91969088927674,"CENPS-CORT"
"ENSG00000177181.14",27.8263467205028,-1.31771818260917,0.477179699384478,-3.30149253129034,0.000961718952846927,0.00285247210333173,"ENSG00000177181","RIMKLA","284716",-1.57540521360123,"RIMKLA"
"ENSG00000183671.12",29.864203732274,-1.12264322295357,0.391949355945769,-3.29264954303925,0.000992481016530828,0.00293679197898533,"ENSG00000183671","CMKLR2","2825",-1.29055186774937,"CMKLR2"
"ENSG00000158008.9",14.072195334149,-1.44649964867015,0.523606143382911,-3.28971251154041,0.00100289792770473,0.00296416131235132,"ENSG00000158008","EXTL1","2134",-1.72251368100618,"EXTL1"
"ENSG00000157064.10",49.2158574143998,-1.26264625963197,0.453299581341383,-3.2845278207618,0.00102153412195619,0.00301436254609639,"ENSG00000157064","NMNAT2","23057",-1.48887508605545,"NMNAT2"
"ENSG00000121895.7",81.1872546852749,-1.46038777710159,0.582453445429529,-3.27160124710281,0.00106940289631732,0.00314243192350388,"ENSG00000121895","TMEM156","80008",-1.90555541844657,"TMEM156"
"ENSG00000275632.1",10.099769567885,-1.59283159520134,0.597998316241011,-3.26131403122011,0.0011089714916977,0.00324956988465813,"ENSG00000275632",NA,NA,-1.95026029940281,"ENSG00000275632"
"ENSG00000176533.12",51.1120924586797,-1.03637455752812,0.36446314780815,-3.25884437946286,0.00111867012823375,0.00327313228827299,"ENSG00000176533","GNG7","2788",-1.18772868075593,"GNG7"
"ENSG00000188613.6",17.9168540459149,-1.1770797478129,0.419606938503098,-3.25791588779445,0.00112233667342078,0.00328223915748465,"ENSG00000188613","NANOS1","340719",-1.36704411157803,"NANOS1"
"ENSG00000036672.15",151.854363710365,-1.0857105987903,0.393086901706509,-3.24552955711091,0.00117232393946728,0.00341437906460383,"ENSG00000036672","USP2","9099",-1.27577515800163,"USP2"
"ENSG00000133135.13",22.5474905197083,-1.08291718963382,0.384819130834722,-3.23478368947551,0.00121734918886912,0.00353047157059105,"ENSG00000133135","RNF128","79589",-1.2448066478223,"RNF128"
"ENSG00000267397.1",8.17571721101375,-1.5601444757466,0.588566877846348,-3.228502163221,0.001244403177148,0.00359777668200328,"ENSG00000267397",NA,NA,-1.90018943832716,"ENSG00000267397"
"ENSG00000156509.13",14.6089018457536,-1.54826517412469,0.596119467692771,-3.22432667244716,0.00126269268705227,0.00364413355542268,"ENSG00000156509","FBXO43","286151",-1.9220838996468,"FBXO43"
"ENSG00000174640.13",77.9624865608927,-1.18831838123025,0.435073450435622,-3.2226949243663,0.00126990728103708,0.00366317029680101,"ENSG00000174640","SLCO2A1","6578",-1.40210900044541,"SLCO2A1"
"ENSG00000120833.13",57.2175816323799,-1.18687534689767,0.436846975945268,-3.21953181670489,0.00128400111146671,0.00369962187953736,"ENSG00000120833","SOCS2","8835",-1.40644273808711,"SOCS2"
"ENSG00000280079.1",26.3270320834209,-1.11803887263242,0.403534930455316,-3.21865504611352,0.00128793320921608,0.00370914746300246,"ENSG00000280079",NA,NA,-1.29883974019307,"ENSG00000280079"
"ENSG00000279415.1",8.48270915564098,-1.93099723460049,0.788537010491912,-3.21650538183311,0.00129762099787988,0.0037340220813344,"ENSG00000279415",NA,NA,-2.53633353802183,"ENSG00000279415"
"ENSG00000255152.8",101.545803520846,-1.03504895573023,0.374330801804993,-3.21068391778617,0.00132419500586769,0.00380371644484898,"ENSG00000255152","MSH5-SAPCD1","100532732",-1.20185788528729,"MSH5-SAPCD1"
"ENSG00000128833.12",17.5505540654742,-1.19802065997286,0.443374339342438,-3.19113589457434,0.00141714607190841,0.00404391778901032,"ENSG00000128833","MYO5C","55930",-1.41486776900884,"MYO5C"
"ENSG00000231793.5",17.7850391899875,-1.18830514722456,0.438736738053236,-3.18691784167318,0.0014379761533522,0.00409415446930075,"ENSG00000231793",NA,NA,-1.39821793829935,"ENSG00000231793"
"ENSG00000279192.1",53.9891769489616,-1.02804386977542,0.374538484217324,-3.18637690741153,0.00144066778016226,0.00410116094650707,"ENSG00000279192","PWAR5","8123",-1.193420777047,"PWAR5"
"ENSG00000207547.1",5.00666689218798,-1.98863658616089,0.784129330390513,-3.18585354225335,0.0014432764046298,0.00410727113900414,"ENSG00000207547","MIR25","407014",-2.49812120480937,"MIR25"
"ENSG00000249042.5",15.2013864451646,-1.0873111369837,0.395896352735407,-3.17777603068077,0.00148409345576668,0.00421330813033315,"ENSG00000249042","FAM151B-DT","121232370",-1.25806994035651,"FAM151B-DT"
"ENSG00000215866.7",24.0742874891763,-1.37820668947572,0.539543182296718,-3.16774139600888,0.001536281092063,0.00435173534716986,"ENSG00000215866","LINC01356","100996702",-1.70913327349568,"LINC01356"
"ENSG00000140057.8",9.44950079975841,-1.28791187276867,0.48317267633093,-3.16509852091871,0.00155030447646281,0.00438796164288853,"ENSG00000140057","AK7","122481",-1.52928912320336,"AK7"
"ENSG00000109193.11",24.3778279607287,-1.56434703066332,0.573769932933275,-3.16032930064042,0.00157590916922283,0.00445050973389927,"ENSG00000109193","SULT1E1","6783",-1.81330193087552,"SULT1E1"
"ENSG00000126856.14",6.05073392358927,-1.87210930083451,0.759741359260654,-3.15620040620196,0.00159838996760768,0.00450826638697408,"ENSG00000126856","PRDM7","11105",-2.39789598670691,"PRDM7"
"ENSG00000228013.1",22.7186310968947,-1.04465499775562,0.382648611496987,-3.15623974920578,0.00159817436875812,0.00450826638697408,"ENSG00000228013","IL6R-AS1","101928101",-1.20773075758519,"IL6R-AS1"
"ENSG00000269019.1",17.8222959693155,-1.05276032476989,0.385622988764144,-3.15287022064005,0.00161673666477573,0.00455495307647342,"ENSG00000269019",NA,NA,-1.21581923766868,"ENSG00000269019"
"ENSG00000281938.1",7.13043685741734,-2.02021548494906,0.904323738448228,-3.15250779727926,0.00161874498313782,0.00455772114073596,"ENSG00000281938",NA,NA,-2.85088763672277,"ENSG00000281938"
"ENSG00000161860.7",5.81018263665137,-1.75255951990818,0.695096738200261,-3.15231657629004,0.00161980553259974,0.00455854060575813,"ENSG00000161860","SYCE2","256126",-2.19116496995382,"SYCE2"
"ENSG00000263917.1",26.3578867400916,-1.58367922851977,0.604786075726782,-3.14560350513673,0.00165744535299803,0.00465783029941193,"ENSG00000263917",NA,NA,-1.90241719966406,"ENSG00000263917"
"ENSG00000255462.1",10.110145356438,-1.59123187799817,0.63774306139006,-3.13713186996329,0.0017060937333249,0.00477792275900569,"ENSG00000255462","GALNT18-AS1","124902632",-2.00068408273471,"GALNT18-AS1"
"ENSG00000147573.16",21.2452999491074,-1.12883468276244,0.420715943632237,-3.13365574829773,0.00172643269643797,0.00482727531168905,"ENSG00000147573","TRIM55","84675",-1.31837893516366,"TRIM55"
"ENSG00000134569.9",105.003319175033,-1.21678442211528,0.463129714509047,-3.13165922318219,0.00173821504062829,0.00485563623106663,"ENSG00000134569","LRP4","4038",-1.45036444197199,"LRP4"
"ENSG00000161905.12",13.0619221593019,-1.341954137324,0.51712356663376,-3.13025618278446,0.00174653916769866,0.00487582376505508,"ENSG00000161905","ALOX15","246",-1.61872924171888,"ALOX15"
"ENSG00000183150.7",5.6360692341542,-2.35878450253425,1.08738688574467,-3.1274103813099,0.0017635357584544,0.00491709405385184,"ENSG00000183150","GPR19","2842",-3.40070503497812,"GPR19"
"ENSG00000273812.1",15.1345301258575,-1.44057882596258,0.589948157673507,-3.11806750454014,0.00182041103348674,0.00505821527315922,"ENSG00000273812",NA,NA,-1.83949817980509,"ENSG00000273812"
"ENSG00000133317.14",1199.8614875356,-1.3992374949583,0.594439482727001,-3.11539369838578,0.00183699546980458,0.00509951319733942,"ENSG00000133317","LGALS12","85329",-1.8519130185594,"LGALS12"
