"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_id_clean","symbol","entrez","log2FoldChange_raw","symbol_for_plot"
"ENSG00000129195.15",154.458652839422,-1.58436701231825,0.287696439299485,-5.80114223590466,6.5864699560194e-09,4.86107741106216e-08,"ENSG00000129195","PIMREG","54478",-1.66896796513962,"PIMREG"
"ENSG00000235852.1",35.4448435857245,2.00249956993864,0.364823696586697,5.79904889099739,6.66920881680275e-09,4.92009875849807e-08,"ENSG00000235852",NA,NA,2.11563045310065,"ENSG00000235852"
"ENSG00000240859.2",118.190808705338,1.21102525014392,0.217596520756754,5.79696686535111,6.75250260592364e-09,4.97741502747718e-08,"ENSG00000240859","LINC03014","100507642",1.26139982084259,"LINC03014"
"ENSG00000138346.14",298.241857564402,-1.70754065466583,0.312399285512285,-5.78667748626319,7.17922266328675e-09,5.27663958527428e-08,"ENSG00000138346","DNA2","1763",-1.80775391219865,"DNA2"
"ENSG00000116544.11",156.605228199144,-2.13191666660183,0.392834857908431,-5.78339183634041,7.32092668807394e-09,5.37634335125827e-08,"ENSG00000116544","DLGAP3","58512",-2.27191791025756,"DLGAP3"
"ENSG00000169403.11",15070.6601154183,1.35518643469616,0.245535537991443,5.77851244327505,7.53639711361457e-09,5.5300103015342e-08,"ENSG00000169403","PTAFR","5724",1.41883016154978,"PTAFR"
"ENSG00000090889.11",646.926104776752,-1.4802958478689,0.269452414965666,-5.77723846909536,7.59366245455157e-09,5.56513687184703e-08,"ENSG00000090889","KIF4A","24137",-1.55669085733029,"KIF4A"
"ENSG00000185222.9",1243.50102075566,-1.21588104133688,0.219712026315434,-5.77626038569349,7.63791436155125e-09,5.59526026518915e-08,"ENSG00000185222","TCEAL9","51186",-1.26911387386629,"TCEAL9"
"ENSG00000197299.11",628.742638890461,-1.5580863458033,0.283793851172883,-5.77541214719653,7.67649458231667e-09,5.61889051552437e-08,"ENSG00000197299","BLM","641",-1.63902645536355,"BLM"
"ENSG00000135968.20",3493.43788185551,1.06099584575957,0.190657092750146,5.77344346333264,7.7667674275943e-09,5.67561639486866e-08,"ENSG00000135968","GCC2","9648",1.10074794587633,"GCC2"
"ENSG00000138180.15",1032.26690999341,-1.30866390826111,0.237360792700435,-5.7703349377071,7.91141258628426e-09,5.77656633046195e-08,"ENSG00000138180","CEP55","55165",-1.36965127496117,"CEP55"
"ENSG00000198719.8",145.377330497948,-2.33753163997166,0.433161529057603,-5.76965979248053,7.94317275155969e-09,5.79737437949564e-08,"ENSG00000198719","DLL1","28514",-2.49919465785304,"DLL1"
"ENSG00000178078.11",31.833158798513,1.84495606187157,0.337184618105657,5.76693136390765,8.07279097476987e-09,5.88955834169171e-08,"ENSG00000178078","STAP2","55620",1.94452054958074,"STAP2"
"ENSG00000101057.15",1683.35093194028,-2.99507210276172,0.560018781879074,-5.76570549786952,8.13169503040410e-09,5.93009782849165e-08,"ENSG00000101057","MYBL2","4605",-3.22890336959037,"MYBL2"
"ENSG00000166321.13",49.4657924950745,-1.34064791798087,0.243043584398874,-5.76497158658581,8.16715994299689e-09,5.95253315854289e-08,"ENSG00000166321","NUDT13","25961",-1.40113935836148,"NUDT13"
"ENSG00000138650.8",649.238627458597,-1.03471982289949,0.186386108932105,-5.75512768828498,8.65763297227771e-09,6.29041100504168e-08,"ENSG00000138650","PCDH10","57575",-1.07267585622686,"PCDH10"
"ENSG00000170345.9",1929.98570579102,-1.02969463758284,0.185835072785883,-5.7494750320146,8.95209713517178e-09,6.49109221894218e-08,"ENSG00000170345","FOS","2353",-1.06845411105505,"FOS"
