"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Human Diseases","Infectious disease: parasitic","hsa05145","Toxoplasmosis","34/1170","112/9380",0.303571428571429,2.43376068376068,5.76225251475516,3.97698771789875e-07,3.90881078559191e-06,2.91845113734525e-06,"3108/3109/3113/4261/958/3717/3119/3111/3115/3914/5603/3117/4615/7040/3122/6772/8651/3112/3123/596/7099/6774/3127/5608/3459/1234/3120/330/7124/4792/3592/5600/3586/79444",34
"Organismal Systems","Immune system","hsa04621","NOD-like receptor signaling pathway","48/1170","187/9380",0.25668449197861,2.05786370492253,5.5159651075741,5.40989167251795e-07,5.16945204262826e-06,3.8596887955976e-06,"64127/2634/9447/115361/115362/10628/10616/5027/114769/2635/2633/79792/837/5603/9641/6773/8767/4615/6772/84168/596/10010/834/7099/3665/4210/388646/6352/838/330/7124/148022/7128/7295/10379/10135/4792/3569/91662/6347/3606/5600/4939/4938/3576/4940/440738/2919",48
"Organismal Systems","Development and regeneration","hsa04380","Osteoclast differentiation","39/1170","142/9380",0.274647887323944,2.2018779342723,5.44772498730019,1.015448004213e-06,9.44092198511545e-06,7.04891359965781e-06,"8792/3937/653361/5603/6773/11006/2209/7040/10990/11025/6772/4688/8651/1540/5971/10288/11027/29760/4772/54209/10859/5608/4791/3459/79168/2215/7124/11024/10379/2353/3690/4792/1435/3726/5600/23547/9021/8600/353514",39
"Human Diseases","Infectious disease: bacterial","hsa05152","Tuberculosis","46/1170","181/9380",0.25414364640884,2.03749350710677,5.32051884425799,1.25809133866715e-06,1.13890373816184e-05,8.50344284306882e-06,"64127/3108/3109/3113/4261/972/3717/817/3119/843/3111/3115/718/5993/5603/3117/8767/4615/2209/7040/1520/3122/6772/3112/3123/596/245972/7099/3127/2207/3459/4360/7096/3120/2215/7124/6714/1379/3569/3592/3606/5600/1594/1378/3586/26253",46
"Genetic Information Processing","Replication and repair","hsa03030","DNA replication","16/1170","36/9380",0.444444444444444,3.56315289648623,5.81646299106911,1.96684205954148e-06,1.73485556021095e-05,1.29530219305836e-05,"4174/4175/4173/5422/2237/4176/5426/4171/5984/5985/1763/3978/5427/5983/5111/4172",16
"Cellular Processes","Cell growth and death","hsa04210","Apoptosis","37/1170","137/9380",0.27007299270073,2.1652005739597,5.18625799321851,2.96200729008181e-06,2.54732626947035e-05,1.90192047047358e-05,"10018/5414/8743/843/5366/578/1519/355/1439/597/1520/840/1522/4170/596/27113/4616/3563/1514/1075/332/4001/330/7124/10038/7277/10039/4000/2353/8837/4792/10912/5783/4803/7185/1521/4914",37
"Human Diseases","Infectious disease: viral","hsa05163","Human cytomegalovirus infection","53/1170","227/9380",0.233480176211454,1.8718325238149,5.01953959127011,3.30077988580527e-06,2.76943483101711e-05,2.06775428019637e-05,"6890/6891/5578/1230/578/3133/355/3105/5603/3106/6892/3107/54331/55080/5829/115004/567/9826/3134/6774/6352/4772/1026/5608/196883/1234/5734/7124/6714/2790/1870/3690/4792/3569/107/1869/6347/5732/5567/5600/5743/3576/3135/6387/5733/6351/5156/2788/6348/1232/9560/6376/2784",53
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","27/1170","88/9380",0.306818181818182,2.45979020979021,5.19369930961365,4.91794460318228e-06,4.02803081784453e-05,3.00746487011648e-05,"720/7056/1604/718/713/714/717/721/710/715/9002/716/3075/2162/2/727/728/629/10544/1379/2151/7035/2152/1378/5328/7450/3818",27
"Environmental Information Processing","Signal transduction","hsa04630","JAK-STAT signaling pathway","42/1170","168/9380",0.25,2.0042735042735,4.95826005556567,5.67788996589245e-06,4.54231197271396e-05,3.39144467974971e-05,"3601/3717/3594/5008/1439/3600/1154/6773/133396/6772/8651/5771/6776/4170/596/6774/3563/3718/3561/1026/246778/3459/5292/50615/10379/7066/116379/3595/3569/3592/3574/6775/5155/3586/3575/9021/3977/5156/3559/8835/5618/2670",42
"Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","48/1170","205/9380",0.234146341463415,1.87717323327079,4.79356791847485,8.76998419581094e-06,6.8565330985431e-05,5.11932091812887e-05,"5366/578/3133/718/3105/3106/3107/5423/5829/4067/8349/6776/245972/3134/6774/3665/1959/2959/3718/1026/85477/991/4791/890/1234/983/9134/6714/10379/440689/3017/1111/4792/2648/1030/102724334/5933/554313/5567/898/1960/3249/8347/3135/8365/7185/8900/1232",48
"Human Diseases","Infectious disease: viral","hsa05162","Measles","34/1170","136/9380",0.25,2.0042735042735,4.45339390996301,4.32586961054419e-05,0.000330688699117156,0.000246903435081353,"578/355/9641/6773/4615/940/6772/6776/596/51284/7099/27113/103/6774/3665/64135/3718/3561/9134/7128/10379/2353/4792/3569/3592/6504/7161/4939/4938/898/4940/23586/4599/3559",34
"Cellular Processes","Cell growth and death","hsa04218","Cellular senescence","37/1170","157/9380",0.235668789808917,1.88937884479286,4.24228788767455,7.93119050735262e-05,0.000593115116202022,0.000442839927641657,"3133/3105/5603/3106/3107/7040/22808/3134/4616/4772/4683/1026/9133/5608/890/2309/983/9134/993/1111/4605/1870/3569/1030/2305/5933/1869/10912/3486/5600/286826/4088/898/3576/3135/776/8900",37
"Organismal Systems","Immune system","hsa04622","RIG-I-like receptor signaling pathway","21/1170","72/9380",0.291666666666667,2.33831908831909,4.30325768940813,0.000123407679096628,0.000903239183175318,0.00067438910861315,"843/5603/9641/57169/1540/10010/3627/103/3665/64135/79132/9755/7124/54941/4792/3592/5600/3576/23586/7706/9636",21
"Human Diseases","Infectious disease: viral","hsa05170","Human immunodeficiency virus 1 infection","46/1170","214/9380",0.214953271028037,1.72330058311367,4.04050264761934,0.000126728077302525,0.000908217887334762,0.000678106378548599,"6890/6891/5578/5058/200316/578/60489/3133/355/3105/5603/3106/6892/3107/3985/54331/4615/140564/55080/8906/5829/115004/567/596/8454/7099/3134/200315/4772/9133/5608/1234/983/7124/7465/1111/2790/2353/9582/995/4792/5600/684/3135/2788/2784",46
"Human Diseases","Endocrine and metabolic disease","hsa04933","AGE-RAGE signaling pathway in diabetic complications","26/1170","101/9380",0.257425742574257,2.06380638063806,4.05762876494073,0.000201102562755294,0.00141182207322084,0.00105411439983441,"3717/5578/7056/7424/5603/3383/7040/6772/6776/596/6774/183/4772/113026/5292/7412/7124/1906/3569/6347/84812/2152/5600/4088/3576/1286",26
"Cellular Processes","Cell growth and death","hsa04115","p53 signaling pathway","21/1170","75/9380",0.28,2.24478632478632,4.0857037359891,0.000232461286662576,0.00159933365223853,0.00119411692517197,"5366/355/596/27244/84883/27113/4616/1026/9133/143686/983/9134/51512/1111/6241/10912/3486/7161/7057/898/575",21
"Human Diseases","Infectious disease: parasitic","hsa05143","African trypanosomiasis","13/1170","37/9380",0.351351351351351,2.81681681681682,4.17992461173181,0.000326866293994745,0.00220474519870966,0.00164613778606229,"8542/5578/3620/355/4615/3383/169355/7412/7124/3569/3592/3606/3586",13
"Organismal Systems","Immune system","hsa04625","C-type lectin receptor signaling pathway","26/1170","105/9380",0.247619047619048,1.98518518518519,3.83226191443518,0.000390343329633193,0.00258227125757343,0.00192801158766193,"3659/5058/5603/9641/6773/6772/22808/1540/5971/834/1959/4772/93978/4791/2207/7124/6714/10379/4792/3569/3592/5600/5743/1960/3586/26253",26
"Human Diseases","Infectious disease: viral","hsa05171","Coronavirus disease - COVID-19","48/1170","239/9380",0.200836820083682,1.61012766870507,3.60680311868592,0.000488715946497437,0.00317204312443619,0.00236835533158639,"8829/720/5578/718/51311/5603/9641/6773/713/714/717/4615/721/115004/6772/715/7098/51284/834/7099/3627/103/6774/716/64135/2162/727/728/629/1636/7124/10379/1839/2353/4792/3569/3592/116832/6347/5600/4939/4938/3576/4940/23586/4599/7450/9636",48
"Cellular Processes","Cell growth and death","hsa04217","Necroptosis","36/1170","168/9380",0.214285714285714,1.71794871794872,3.54462846525546,0.000703863400686874,0.00448387055252379,0.00334781032685375,"10616/3717/817/8743/355/6773/5321/353376/2752/6772/81030/1540/6776/94239/8605/7098/596/834/7099/6774/3718/3459/330/7124/148022/7128/10379/92421/8837/90865/92815/3014/100137049/8334/6775/246",36
