"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0051304","chromosome separation","33/949","83/18860",0.397590361445783,7.90153236761588,14.5045410572654,1.11784721798842e-21,5.04555585210226e-19,4.53557148734056e-19,"CDC20/DLGAP5/NCAPD2/BUB1B/TTK/CENPF/BIRC5/NCAPH/ZWINT/MAD2L1/NCAPG2/NUF2/NCAPG/SPC25/SPC24/KNL1/BUB1/NCAPD3/PLK1/SMC2/AURKB/NDC80/ESPL1/TRIP13/UBE2C/SKA1/SMC4/CDCA8/HASPIN/SKA3/XRCC3/FBXO5/NCAPH2",33
"GO:0090068","positive regulation of cell cycle process","59/949","278/18860",0.212230215827338,4.21776804057281,12.4412329956434,1.83126733314616e-21,7.57686859089224e-19,6.81102937942081e-19,"CD28/LRP5/CDC20/DLGAP5/NCAPD2/NUSAP1/FGFR1/BIRC5/SPAG5/LSM11/NCAPH/KIF14/CDK1/GPSM2/CCNE2/MAD2L1/CDC25A/FEN1/NCAPG2/WEE1/NCAPG/KNL1/BUB1/NCAPD3/CIT/SMC2/AURKB/E2F8/NDC80/CHEK1/PLK4/CDC25C/RRM1/ESPL1/SLF1/UBE2C/SKA1/KIF23/SMC4/CDCA8/E2F7/RRM2/CDC6/KIF20B/CCDC15/RACGAP1/RAD51AP1/SKA3/XRCC3/INSR/ATAD5/DTL/FBXO5/NCAPH2/DDX11/STIL/CCNE1/FAM83D/CDC7",59
"GO:0051783","regulation of nuclear division","42/949","147/18860",0.285714285714286,5.67815745897938,13.1067288061642,8.83948504675637e-21,3.37600332747272e-18,3.03477057475684e-18,"CD28/LRP5/CDC20/DLGAP5/BUB1B/TTK/NUSAP1/CENPF/BIRC5/ZWINT/MAD2L1/MKI67/NEK2/NUF2/SPC25/SPC24/KNL1/BUB1/PLK1/AURKB/NDC80/PKMYT1/CHEK1/PDE3A/CDC25C/RCC1/ESPL1/TRIP13/UBE2C/SKA1/CDCA8/HASPIN/GPR3/KIF20B/RAD51AP1/CDCA2/SKA3/XRCC3/INSR/FBXO5/BMP4/FBXO43",42
"GO:0051983","regulation of chromosome segregation","40/949","134/18860",0.298507462686567,5.93240331535159,13.1892770247011,1.2707391271651e-20,4.50658554741053e-18,4.05107811968424e-18,"CDC20/DLGAP5/NCAPD2/BUB1B/TTK/CENPF/BIRC5/NCAPH/CDK1/ZWINT/MAD2L1/NCAPG2/NUF2/NCAPG/SPC25/SPC24/KNL1/BUB1/NCAPD3/PLK1/CENPE/SMC2/AURKB/NDC80/TACC3/PHF10/ESPL1/TRIP13/UBE2C/SKA1/SMC4/CDCA8/HASPIN/BCL7A/KIF2C/CDC6/SKA3/XRCC3/FBXO5/NCAPH2",40
"GO:0044772","mitotic cell cycle phase transition","75/949","461/18860",0.162689804772234,3.23322414963576,11.1742449711117,1.14340422929855e-19,3.60480384633123e-17,3.24044486318852e-17,"APPL2/CDKN2C/BCL2/IQGAP3/CCNB2/CDC20/DLGAP5/BUB1B/CCNA2/TTK/CENPF/BRCA1/BIRC5/LSM11/ANLN/KIF14/JADE1/CDK1/ZWINT/CCNE2/MAD2L1/CDC25A/POLE/CLSPN/NUF2/WEE1/KANK2/SPC25/SPC24/ORC1/KNL1/BUB1/PLK1/CENPE/AURKB/NDC80/TACC3/TICRR/PKMYT1/NFIA/CHEK1/CCNF/PHF10/BLM/CDC25C/RCC1/RRM1/ESPL1/TRIP13/UBE2C/SKA1/CDKN2B/FOXM1/CDCA8/HASPIN/E2F7/CTDSPL/BCL7A/RBL1/RRM2/CDC6/DONSON/E2F1/CDKN3/SKA3/XRCC3/ATAD5/DTL/FBXO5/NES/STIL/IER3/CCNE1/CDC7/MYB",75
"GO:0045787","positive regulation of cell cycle","64/949","349/18860",0.183381088825215,3.64443344072029,11.4779131192619,1.16166891321852e-19,3.60480384633123e-17,3.24044486318852e-17,"PRKCA/CD28/TAL1/LRP5/CDC20/DLGAP5/NCAPD2/NUSAP1/FGFR1/BIRC5/SPAG5/LSM11/NCAPH/KIF14/CDK1/GPSM2/CCNE2/MAD2L1/CDC25A/FEN1/NCAPG2/WEE1/NCAPG/KNL1/BUB1/NCAPD3/CIT/SMC2/AURKB/E2F8/NDC80/CHEK1/SHB/PLK4/CDC25C/RRM1/ESPL1/SLF1/UBE2C/SKA1/KIF23/SMC4/CDCA8/E2F7/RRM2/CDC6/KIF20B/CCDC15/RACGAP1/RAD51AP1/SKA3/XRCC3/INSR/ATAD5/DTL/FBXO5/NCAPH2/DDX11/STIL/CCNE1/FAM83D/IL10/CDC7/USP2",64
"GO:1901987","regulation of cell cycle phase transition","74/949","468/18860",0.158119658119658,3.14239910657192,10.8029246145913,1.07458697655268e-18,3.13842608152003e-16,2.82120667528381e-16,"APPL2/CDKN2C/BCL2/CDC20/DLGAP5/BUB1B/TTK/CENPF/BRCA1/BIRC5/LSM11/ANLN/KIF14/JADE1/CDK1/ZWINT/CCNE2/MAD2L1/CDC25A/CLSPN/NUF2/WEE1/KANK2/SPC25/SPC24/ORC1/KNL1/WDR76/CDT1/BUB1/PLK1/CENPE/AURKB/NDC80/TICRR/PKMYT1/CHEK1/RAD51/PHF10/DNA2/BLM/EME1/CDC25C/RRM1/ESPL1/TRIP13/UBE2C/SKA1/CDKN2B/FANCD2/CDCA8/H2AX/HASPIN/E2F7/CDC45/CTDSPL/BCL7A/RBL1/RRM2/CDC6/DONSON/E2F1/SKA3/XRCC3/ATAD5/DTL/FBXO5/STIL/IER3/NEK10/CCNE1/FAM83D/CDC7/CDK15",74
"GO:1901990","regulation of mitotic cell cycle phase transition","63/949","357/18860",0.176470588235294,3.5070972540755,11.0082107230971,1.7028145178778e-18,4.69693004514627e-16,4.22218336596601e-16,"APPL2/CDKN2C/BCL2/CDC20/DLGAP5/BUB1B/TTK/CENPF/BRCA1/BIRC5/LSM11/ANLN/KIF14/JADE1/CDK1/ZWINT/CCNE2/MAD2L1/CDC25A/CLSPN/NUF2/WEE1/KANK2/SPC25/SPC24/ORC1/KNL1/BUB1/PLK1/CENPE/AURKB/NDC80/TICRR/PKMYT1/CHEK1/PHF10/BLM/CDC25C/RRM1/ESPL1/TRIP13/UBE2C/SKA1/CDKN2B/CDCA8/HASPIN/E2F7/CTDSPL/BCL7A/RBL1/RRM2/CDC6/DONSON/E2F1/SKA3/XRCC3/ATAD5/DTL/FBXO5/STIL/IER3/CCNE1/CDC7",63
"GO:0010948","negative regulation of cell cycle process","59/949","318/18860",0.185534591194969,3.6872311801234,11.1243032981445,1.82071393036949e-18,4.75781298120237e-16,4.27691250125574e-16,"BCL2/CDC20/BUB1B/TTK/CENPF/BRCA1/BIRC5/JADE1/CDK1/ZWINT/MAD2L1/CLSPN/NEK2/NUF2/WEE1/KANK2/SPC25/SPC24/ORC1/KNL1/WDR76/CDT1/BUB1/PLK1/AURKB/E2F8/NDC80/TICRR/PKMYT1/CHEK1/RAD51/CCNF/DNA2/BLM/EME1/ESPL1/TRIP13/SKA1/KAT2A/CDKN2B/FANCD2/CDCA8/H2AX/HASPIN/E2F7/CDC45/CTDSPL/RBL1/CDC6/DONSON/E2F1/SKA3/XRCC3/DTL/FBXO5/IER3/BMP4/FBXO43/GPER1",59
"GO:0044786","cell cycle DNA replication","23/949","46/18860",0.5,9.93677555321391,13.9685625317635,2.90101592977229e-18,7.2017720456597e-16,6.47384607486026e-16,"FGFR1/CDK1/TK1/MCM6/MCM4/POLA1/FEN1/MCM2/CDT1/GINS1/E2F8/RAD51/DNA2/BLM/LIG1/E2F7/CDC45/DONSON/PCNA/ATAD5/MCM3/FBXO5/CDC7",23
