"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0052372","modulation by symbiont of entry into host",24,0.61681877444923,1.73144999770606,0.00483764463765493,0.0301141719693801,0.0230932830439495,2911,"tags=58%, list=19%, signal=47%","972/3123/6737/10475/3965/5819/55770/9023/6609/3576/81559/7706/85363/5045"
"GO:0046460","neutral lipid biosynthetic process",39,0.550754770787821,1.72918757102494,0.00488216990133377,0.0303081901672403,0.0232420673825465,2335,"tags=41%, list=15%, signal=35%","2710/23175/718/5321/2180/81542/7376/84649/5106/9663/9926/23411/84879/10062/6720/10524"
"GO:0046463","acylglycerol biosynthetic process",39,0.550754770787821,1.72918757102494,0.00488216990133377,0.0303081901672403,0.0232420673825465,2335,"tags=41%, list=15%, signal=35%","2710/23175/718/5321/2180/81542/7376/84649/5106/9663/9926/23411/84879/10062/6720/10524"
"GO:0006518","peptide metabolic process",53,0.496335183475044,1.6513888938584,0.00493994638959233,0.0306043249927517,0.0234691606378969,1709,"tags=23%, list=11%, signal=20%","23549/64167/6892/2729/1512/2687/26258/51752/2678/4780/79094/4012"
"GO:0072665","protein localization to vacuole",103,0.420271356712334,1.55051359982441,0.00494336055964897,0.0306043249927517,0.0234691606378969,3416,"tags=37%, list=22%, signal=29%","2633/23400/64121/64089/6272/950/54832/7879/975/51542/9648/4074/8031/57707/23352/131540/8943/27183/10254/10524/10013/57142/56888/154743/112770/57154/25930/7805/51100/3920/79158/57521/27072/10670/23163/137492/8878/8678"
"GO:0010803","regulation of tumor necrosis factor-mediated signaling pathway",61,0.479720787133317,1.62962762471195,0.00495904081987656,0.030659573897275,0.0235115286827935,2990,"tags=41%, list=19%, signal=33%","114769/837/5771/1540/7186/10010/834/841/8737/84888/246330/7128/307/2621/8887/28512/9261/8904/331/7132/7805/4898/8970/6868/8996"
"GO:0090307","mitotic spindle assembly",73,-0.400269123408511,-1.58981463373971,0.0049794334427327,0.0307437672967632,0.0235760930349793,3247,"tags=38%, list=21%, signal=30%","285331/9639/10274/7175/9126/11200/8086/8243/79598/152185/29127/3619/55143/9493/1104/4605/24137/22974/9212/3833/5347/29128/56992/4751/9055/3832/332/991"
"GO:1901655","cellular response to ketone",97,0.42287854339401,1.54659736834318,0.00500840477753909,0.030880626196294,0.0236810443285815,2423,"tags=27%, list=16%, signal=23%","120892/3717/54464/653361/7040/730249/5106/23367/5734/5243/6714/842/51542/8837/23411/2621/8031/415116/5732/2002/6446/445/2908/9101/7832/56848"
"GO:0046718","symbiont entry into host cell",116,0.403637145095424,1.52287964553737,0.00502214565384536,0.0309233337546137,0.0237137949462441,2283,"tags=34%, list=15%, signal=29%","2634/115362/972/8764/6993/8673/5817/3383/942/3123/7405/6737/10475/950/5359/941/3695/1514/3965/1234/4864/975/6714/5819/4179/2621/3916/6510/9023/9972/6504/6609/558/26762/1956/290/81559/7706/79581"
"GO:1905898","positive regulation of response to endoplasmic reticulum stress",39,0.548735144867366,1.72284661453213,0.00511327589954357,0.0314417967915023,0.0241113822905306,1527,"tags=36%, list=10%, signal=32%","10018/5366/578/5771/9709/5770/27113/81542/91445/2081/29978/23411/1649/4780"
"GO:0030595","leukocyte chemotaxis",191,0.360829880935579,1.45575396875873,0.00512869781983289,0.0314939522414096,0.0241513780961008,2955,"tags=37%, list=19%, signal=30%","4283/11240/56833/972/1230/6357/6373/5142/7424/718/2358/80270/4067/3627/57118/6352/284114/2185/26228/84818/80024/2207/6354/3570/3965/1234/58191/6355/5293/158747/1906/6688/3569/3592/8995/2621/9943/6347/9023/1435/7130/6504/2841/5795/26585/5641/6279/5155/4814/3576/6729/5764/10059/2321/5054/6387/6351/10488/1240/6346/9353/1843/3958/23604/4192/1235/9750/51119/6348/54795/6868"
"GO:0051988","regulation of attachment of spindle microtubules to kinetochore",23,-0.574468123796685,-1.70759936545379,0.00516066748322418,0.0316339260367707,0.0242587180713887,2026,"tags=52%, list=13%, signal=45%","1894/9183/9735/29127/3619/55143/891/9212/4751/983/10615/332"
"GO:0098761","cellular response to interleukin-7",20,0.635395862226378,1.70055645687914,0.00516543393416639,0.0316339260367707,0.0242587180713887,1897,"tags=45%, list=12%, signal=40%","695/6772/6776/2923/3718/3561/3574/3716/506"
"GO:0008625","extrinsic apoptotic signaling pathway via death domain receptors",76,0.444855596533317,1.57640234802019,0.00517484723238177,0.0316488635317365,0.0242701730036234,2860,"tags=45%, list=18%, signal=37%","3082/8743/5366/355/467/3383/6272/598/841/85450/6810/8717/7124/7128/80196/2907/6788/64114/8837/6688/9191/10116/8567/1616/11337/6672/8682/5054/4803/3958/282991/7132/2932/153090"
