"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030098","lymphocyte differentiation","117/2069","441/18860",0.26530612244898,2.41840187017291,10.5800290650853,2.50507774679392e-20,1.35957401348725e-17,9.85250673619428e-18,"IRF1/ASCL2/FGL2/IL15RA/SLAMF8/CD74/LAG3/JAK2/IL12RB1/ITK/BAK1/HLA-DOA/DUSP10/IL15/GPR183/MR1/LILRB4/RIPK2/CD28/SEMA4A/KLF6/TGFB1/HLA-DRA/CD86/SOCS1/PRELID1/PTPN2/CYLD/RELB/IKZF1/IL4I1/LILRB2/MERTK/B2M/STAT5A/HLA-DRB1/CTLA4/BLNK/TBX21/BCL2/FLT3LG/PTPRC/IRF4/BTN2A2/STAT3/ADAM8/ZC3H12A/RUNX1/HMGB3/IRF8/HLX/SLAMF6/TNFSF13B/JAK3/IL2RG/IL27/CD80/CFB/FCER1G/CTSL/PTGER4/RHOH/SH3RF1/FOXO3/RSAD2/VCAM1/BCL6/NOTCH2/LIG4/VSIR/TNFSF8/NFAM1/TYRO3/FZD9/TPD52/PHF10/SHB/DLL1/IL12RB2/KAT2A/IL6/IL12A/TNFSF18/GAS6/RUNX2/FANCD2/CD69/FANCA/VNN1/IL18/JUNB/IL7/SLAMF1/SLC46A2/CD83/FZD7/NCAPH2/GPR18/STAT4/EGR3/CR1/IL10/IL7R/HLA-G/SOCS3/BMP4/CD2/RASGRP1/CCR2/GATA3/CCR6/IL2RA/CLEC4E/PAX5/PLA2G2D/MYB/NTRK1",117
"GO:0051251","positive regulation of lymphocyte activation","99/2069","346/18860",0.286127167630058,2.60819641445282,10.5981070995073,7.20310216403669e-20,3.58354332660826e-17,2.59690788545533e-17,"NOD2/HLA-DMA/HLA-DMB/HLA-DPA1/IL15RA/CD40/PDCD1LG2/CD38/CD74/TNFRSF14/JAK2/IL12RB1/HLA-DQB1/HLA-DOA/HLA-E/CCDC88B/CD55/HLA-DPB1/DUSP10/HLA-A/IL15/GPR183/HLA-DQA1/LILRB4/RIPK2/CD274/AKIRIN2/MYD88/KLRK1/CD28/FCHO1/TGFB1/HLA-DRA/CD86/CD47/SOCS1/LYN/CYLD/HLA-DOB/IL4I1/LILRB2/B2M/STAT5A/HLA-DRB1/TBX21/BCL2/FLT3LG/PTPRC/EFNB1/BTN2A2/TLR4/KITLG/ADAM8/HLA-DRB5/RUNX1/HLX/CCL5/EBI3/TNFSF13B/IL2RG/CDKN1A/LILRB1/CD80/RHOH/FOXO3/VCAM1/HLA-DQB2/BCL6/TICAM1/SRC/VSIR/PHF10/SHB/IL6/IL12A/GAS6/CCL2/VNN1/IL18/MAP3K8/IL7/SLAMF1/ATAD5/CD83/CD70/CD24/EGR3/CR1/IL10/CD320/IL7R/HLA-G/FGF10/TNFSF11/RASGRP1/CCR2/GATA3/IL2RA/PRLR",99
"GO:0009615","response to virus","116/2069","445/18860",0.260674157303371,2.37617912360637,10.3126529809912,1.65275779676814e-19,7.05881112861782e-17,5.11535109558657e-17,"IRF1/GBP2/AIM2/CXCL9/FGL2/GBP5/CD40/JAK2/IL12RB1/NLRC5/NMI/GBP3/APOBEC3F/GBP1/PMAIP1/APOBEC3G/BATF3/PML/IL15/TLR8/PSMA2/IKBKE/STAT2/CD37/MYD88/APOBEC3D/TRIM22/DTX3L/TGFB1/MOV10/CGAS/STAT1/ZNFX1/ACOD1/MICB/ZBP1/IRF5/TLR3/TBX21/BCL2/TLR7/TANK/IRF2/PTPRC/TRIM21/CASP1/CUL1/AGBL5/CXCL10/ADAR/IRF7/ISG20/ZC3H12A/SERINC5/OTUD4/RTP4/IFIH1/APOBEC3A/DHX58/DDX60/GBP7/CCL5/IFIT5/TSPAN32/RAB2B/CXADR/PLSCR1/LILRB1/IL27/IFI27/PARP9/IFITM2/IFNGR1/VWCE/TRIM31/TBKBP1/RSAD2/IFITM3/STMN1/TNF/SHFL/IFITM1/TICAM1/TNFAIP3/DDX60L/IRF9/CCL8/IFIT2/APOBEC3B/IL33/IL6/IL12A/IFIT3/DDIT4/IFI44L/MAPK11/OAS2/BST2/TRIM7/OAS1/SMAD3/IFI6/OAS3/RNASE6/RIGI/TRIM25/USP18/MX1/CXCL12/CCL4/HERC5/ISG15/IFI44/GATA3/ZDHHC11B/OASL",116
"GO:0034341","response to type II interferon","54/2069","129/18860",0.418604651162791,3.8157968685018,11.2646315101557,1.6553325929757e-19,7.05881112861782e-17,5.11535109558657e-17,"IRF1/GBP2/HLA-DPA1/CALCOCO2/NUB1/GBP4/CIITA/GBP5/CD40/CD74/JAK2/IL12RB1/NLRC5/GBP3/UBD/GBP1/GCH1/RAB20/SLC11A1/CD47/STAT1/ACOD1/PTPN2/TLR3/TRIM21/CASP1/TLR4/RAB43/MEFV/IRF8/GBP7/CCL5/PARP14/PARP9/IFITM2/IFNGR1/MRC1/PIM1/CXCL16/IFITM3/TNF/SHFL/IFITM1/KYNU/FCAR/EDN1/GBP6/CCL2/NR1H3/ASS1/BST2/CYP27B1/CDC42EP2/CCL3",54
"GO:1903706","regulation of hemopoiesis","115/2069","443/18860",0.259593679458239,2.36633001188129,10.2152575742871,3.37580764327232e-19,1.34357144202239e-16,9.73653993954334e-17,"IRF1/ASCL2/FGL2/IL15RA/SLAMF8/TNFRSF11A/CD74/LAG3/PRKCA/IL12RB1/CCR1/HLA-DOA/CEACAM1/DUSP10/IL15/LILRB4/HLA-B/RIPK2/C1QC/CD28/TGFB1/HLA-DRA/GLUL/CD86/LILRB3/STAT1/PPARGC1B/TMEM176A/SOCS1/TMEM176B/PRELID1/LYN/PTPN2/CYLD/IL4I1/LILRB2/TAL1/B2M/STAT5A/TESC/HLA-DRB1/CTLA4/TLR3/TBX21/PTPRC/IRF4/BTN2A2/TLR4/ZFP36/KITLG/STAT3/IRF7/ADAM8/ZC3H12A/RUNX1/FAXDC2/HMGB3/HLX/CD101/JAK3/IL2RG/TREM2/LILRB1/IL27/CD80/SCIN/RHOH/SH3RF1/FOXO3/BCL6/TNF/NOTCH2/THPO/VSIR/NFAM1/PHF10/SHB/DLL1/FOS/NFKBIA/KAT2A/TNFSF18/GAS6/HMGB2/FANCD2/CD69/SIGLEC15/FANCA/H4C15/CSF1/VNN1/IL18/JUNB/IL7/TNFAIP6/SLC46A2/CD83/EGR3/CR1/IL10/PTN/IL7R/HLA-G/BMP4/CD2/TNFSF11/RASGRP1/ISG15/CCR2/H4C8/GATA3/IL2RA/TCIM/CCL3/MYB",115
"GO:1902105","regulation of leukocyte differentiation","97/2069","343/18860",0.282798833819242,2.57785693853596,10.352152604912,4.178969023425e-19,1.55927781686545e-16,1.12997122936031e-16,"IRF1/ASCL2/FGL2/IL15RA/SLAMF8/TNFRSF11A/CD74/LAG3/PRKCA/IL12RB1/CCR1/HLA-DOA/CEACAM1/DUSP10/IL15/LILRB4/HLA-B/RIPK2/C1QC/CD28/TGFB1/HLA-DRA/CD86/LILRB3/PPARGC1B/TMEM176A/SOCS1/TMEM176B/PRELID1/LYN/PTPN2/CYLD/IL4I1/LILRB2/TAL1/STAT5A/TESC/HLA-DRB1/CTLA4/TLR3/TBX21/PTPRC/IRF4/BTN2A2/TLR4/KITLG/IRF7/ADAM8/ZC3H12A/RUNX1/HMGB3/HLX/CD101/JAK3/IL2RG/TREM2/LILRB1/IL27/CD80/RHOH/SH3RF1/FOXO3/BCL6/TNF/NOTCH2/VSIR/NFAM1/PHF10/SHB/FOS/KAT2A/TNFSF18/GAS6/FANCD2/CD69/FANCA/CSF1/VNN1/IL18/JUNB/IL7/TNFAIP6/SLC46A2/CD83/EGR3/CR1/IL10/IL7R/HLA-G/BMP4/CD2/TNFSF11/RASGRP1/CCR2/GATA3/IL2RA/CCL3",97
"GO:0019882","antigen processing and presentation","51/2069","120/18860",0.425,3.87409376510392,11.0868470722494,7.58472519256141e-19,2.66357702350539e-16,1.93023037408219e-16,"NOD2/HLA-DMA/HLA-DMB/HLA-DPA1/FGL2/TAP1/TAP2/CD74/ERAP2/HLA-DQB1/IFI30/PSME1/HLA-DOA/HLA-E/HLA-DPB1/HLA-A/PSMB8/HLA-H/HLA-DQA1/MPEG1/MR1/HLA-B/TAPBP/HLA-C/SLC11A1/FCGR1A/TAPBPL/ICAM1/CTSS/HLA-DRA/RELB/HLA-DOB/LILRB2/B2M/HLA-DRB1/HLA-F/HLA-DRB5/CD1A/MARCHF1/CD1C/TREM2/ERAP1/FCER1G/CTSL/ACE/HLA-DQB2/CD1B/CD1E/THBS1/FCER2/HLA-G",51
"GO:1903039","positive regulation of leukocyte cell-cell adhesion","86/2069","289/18860",0.29757785467128,2.71257532097648,10.2986963271767,1.34565677703845e-18,4.46309497717753e-16,3.23429786761873e-16,"NOD2/HLA-DMA/HLA-DMB/HLA-DPA1/PDCD1LG2/CD74/TNFRSF14/JAK2/IL12RB1/HLA-DQB1/HLA-DOA/HLA-E/CCDC88B/CD55/HLA-DPB1/DUSP10/HLA-A/IL15/HLA-DQA1/LILRB4/RIPK2/CD274/KLRK1/CD28/FCHO1/TGFB1/HLA-DRA/CD86/CD47/SOCS1/LYN/CYLD/HLA-DOB/IL4I1/LILRB2/B2M/STAT5A/HLA-DRB1/PTPRC/EFNB1/BTN2A2/KITLG/ADAM8/HLA-DRB5/RUNX1/HLX/CCL5/EBI3/TNFSF13B/IL2RG/LILRB1/CD80/RHOH/FOXO3/VCAM1/HLA-DQB2/BCL6/TNF/SRC/HAS2/VSIR/PHF10/SHB/FUT4/IL6/IL12A/CCL2/VNN1/IL18/MAP3K8/IL7/NR4A3/SLAMF1/CD83/CD70/CD24/EGR3/CHST2/CR1/IL7R/HLA-G/TNFSF11/RASGRP1/CCR2/GATA3/IL2RA",86
"GO:0070661","leukocyte proliferation","98/2069","356/18860",0.275280898876405,2.50932709173948,10.0919909266239,2.10581350675459e-18,6.61668770280258e-16,4.79495485471544e-16,"IRF1/PSMB10/HLA-DMB/HLA-DPA1/CD40/PDCD1LG2/CD38/CD74/TNFRSF14/P2RX7/JAK2/IL12RB1/MNDA/IDO1/BTN3A1/HLA-E/CCDC88B/CD55/HLA-DPB1/HLA-A/CSF2RB/IL15/GPR183/LILRB4/RIPK2/CD37/CD274/MYD88/CD28/SLC11A1/TGFB1/CD86/LYN/IL4I1/ELF4/LILRB2/STAT5A/HLA-DRB1/CTLA4/BCL2/FLT3LG/PTPRC/EFNB1/BTN2A2/TLR4/TNFRSF21/KITLG/PCYT1A/CCL5/TSPAN32/GAPT/EBI3/TNFSF13B/TREM2/CDKN1A/LILRB1/IL27/CD80/SH3RF1/VCAM1/ACE/BCL6/TICAM1/HELLS/TNFAIP3/CD180/CCL8/VSIR/TNFSF8/SHB/IL33/IL6/IL12A/TNFSF18/CSF1/IL18/JUNB/IL7/SLAMF1/ATAD5/CD70/CD24/BST2/CR1/IL10/CD320/IL7R/HLA-G/FGF10/BMP4/TNFSF11/RASGRP1/CCR2/RIPOR2/IL2RA/PLA2G2D/PRLR/CX3CL1",98
"GO:0048002","antigen processing and presentation of peptide antigen","38/2069","72/18860",0.527777777777778,4.81096611352774,11.3726678243173,2.26430241689553e-18,6.75894271443315e-16,4.89804364917927e-16,"HLA-DMA/HLA-DMB/HLA-DPA1/TAP1/TAP2/CD74/ERAP2/HLA-DQB1/IFI30/HLA-DOA/HLA-E/HLA-DPB1/HLA-A/HLA-H/HLA-DQA1/MPEG1/MR1/HLA-B/TAPBP/HLA-C/SLC11A1/FCGR1A/TAPBPL/CTSS/HLA-DRA/HLA-DOB/B2M/HLA-DRB1/HLA-F/HLA-DRB5/MARCHF1/TREM2/ERAP1/FCER1G/CTSL/ACE/HLA-DQB2/HLA-G",38
